Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
JUUSO VALIMAKIDCGY20-21,Juuso Valimaki,D,CGY,20-21,Power Play,JUUSO VALIMAKI,49,20202021,10.71666667,4.14%,39.88%,46.37%
JON MERRILLDDET/MTL20-21,Jon Merrill,D,DET/MTL,20-21,Power Play,JON MERRILL,49,20202021,19.16666667,8.83%,34.42%,42.74%
THOMAS CHABOTDOTT20-21,Thomas Chabot,D,OTT,20-21,Power Play,THOMAS CHABOT,49,20202021,165,66.06%,43.77%,53.80%
MARCO SCANDELLADSTL20-21,Marco Scandella,D,STL,20-21,Power Play,MARCO SCANDELLA,49,20202021,3.666666667,1.76%,27.54%,29.21%
BRANDON MONTOURDBUF/FLA20-21,Brandon Montour,D,BUF/FLA,20-21,Power Play,BRANDON MONTOUR,50,20202021,28.35,11.78%,34.46%,32.33%
CONNOR MURPHYDCHI20-21,Connor Murphy,D,CHI,20-21,Power Play,CONNOR MURPHY,50,20202021,8.166666667,2.98%,30.93%,38.51%
RYAN MCDONAGHDT.B20-21,Ryan Mcdonagh,D,T.B,20-21,Power Play,RYAN MCDONAGH,50,20202021,16.65,6.47%,33.54%,33.73%
CHARLIE MCAVOYDBOS20-21,Charlie Mcavoy,D,BOS,20-21,Power Play,CHARLIE MCAVOY,51,20202021,98.76666667,41.36%,37.75%,46.58%
MATT DUMBADMIN20-21,Matt Dumba,D,MIN,20-21,Power Play,MATT DUMBA,51,20202021,102.2833333,38.90%,34.68%,36.00%
RYAN LINDGRENDNYR20-21,Ryan Lindgren,D,NYR,20-21,Power Play,RYAN LINDGREN,51,20202021,5.783333333,2.15%,30.32%,32.62%
MARC-EDOUARD VLASICDS.J20-21,Marc-edouard Vlasic,D,S.J,20-21,Power Play,MARC-EDOUARD VLASIC,51,20202021,5.916666667,2.67%,31.03%,32.91%
TOREY KRUGDSTL20-21,Torey Krug,D,STL,20-21,Power Play,TOREY KRUG,51,20202021,143.9333333,63.99%,39.41%,52.78%
DMITRY ORLOVDWSH20-21,Dmitry Orlov,D,WSH,20-21,Power Play,DMITRY ORLOV,51,20202021,35.23333333,15.02%,33.45%,41.46%
BRADY SKJEIDCAR20-21,Brady Skjei,D,CAR,20-21,Power Play,BRADY SKJEI,52,20202021,4.183333333,1.81%,30.22%,28.91%
JACCOB SLAVINDCAR20-21,Jaccob Slavin,D,CAR,20-21,Power Play,JACCOB SLAVIN,52,20202021,7.65,3.38%,33.41%,35.56%
JOHN MARINODPIT20-21,John Marino,D,PIT,20-21,Power Play,JOHN MARINO,52,20202021,73.65,32.62%,37.01%,37.85%
ERIK KARLSSONDS.J20-21,Erik Karlsson,D,S.J,20-21,Power Play,ERIK KARLSSON,52,20202021,150.3833333,60.94%,38.27%,48.55%
ALEX EDLERDVAN20-21,Alex Edler,D,VAN,20-21,Power Play,ALEX EDLER,52,20202021,14.35,6.03%,41.30%,59.27%
NICOLAS HAGUEDVGK20-21,Nicolas Hague,D,VGK,20-21,Power Play,NICOLAS HAGUE,52,20202021,17.51666667,6.37%,35.98%,42.81%
JOHN CARLSONDWSH20-21,John Carlson,D,WSH,20-21,Power Play,JOHN CARLSON,52,20202021,165.4166667,69.05%,39.80%,62.42%
MICHAEL DEL ZOTTODCBJ20-21,Michael Del Zotto,D,CBJ,20-21,Power Play,MICHAEL DEL ZOTTO,53,20202021,22.81666667,12.18%,35.81%,36.35%
