Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
MATT GRZELCYKDBOS20-21,Matt Grzelcyk,D,BOS,20-21,Even Strength,MATT GRZELCYK,37,20202021,608.2833333,32.59%,29.05%,28.14%
LOGAN STANLEYDWPG20-21,Logan Stanley,D,WPG,20-21,Even Strength,LOGAN STANLEY,37,20202021,476.1166667,25.98%,27.51%,26.44%
BEN HUTTONDANA/TOR20-21,Ben Hutton,D,ANA/TOR,20-21,Even Strength,BEN HUTTON,38,20202021,604.1,31.14%,28.28%,26.73%
JACOB BRYSONDBUF20-21,Jacob Bryson,D,BUF,20-21,Even Strength,JACOB BRYSON,38,20202021,619.15,31.66%,28.79%,27.02%
NIKITA NESTEROVDCGY20-21,Nikita Nesterov,D,CGY,20-21,Even Strength,NIKITA NESTEROV,38,20202021,539.05,29.06%,28.40%,26.52%
ANTON STRALMANDFLA20-21,Anton Stralman,D,FLA,20-21,Even Strength,ANTON STRALMAN,38,20202021,618.55,32.80%,28.51%,26.85%
JACOB TROUBADNYR20-21,Jacob Trouba,D,NYR,20-21,Even Strength,JACOB TROUBA,38,20202021,664.3833333,35.43%,28.65%,28.27%
LUKE SCHENNDT.B20-21,Luke Schenn,D,T.B,20-21,Even Strength,LUKE SCHENN,38,20202021,393.0666667,21.30%,27.88%,27.61%
TRAVIS HAMONICDVAN20-21,Travis Hamonic,D,VAN,20-21,Even Strength,TRAVIS HAMONIC,38,20202021,643.6166667,34.19%,28.95%,28.32%
IAN MITCHELLDCHI20-21,Ian Mitchell,D,CHI,20-21,Even Strength,IAN MITCHELL,39,20202021,562.6333333,28.79%,28.44%,28.03%
SAMI VATANENDN.J/DAL20-21,Sami Vatanen,D,N.J/DAL,20-21,Even Strength,SAMI VATANEN,39,20202021,570.2166667,28.82%,27.75%,27.12%
JORDIE BENNDVAN/WPG20-21,Jordie Benn,D,VAN/WPG,20-21,Even Strength,JORDIE BENN,39,20202021,518.4166667,26.45%,28.29%,27.34%
TUCKER POOLMANDWPG20-21,Tucker Poolman,D,WPG,20-21,Even Strength,TUCKER POOLMAN,39,20202021,651.35,33.44%,29.25%,28.82%
DANTE FABBRODNSH20-21,Dante Fabbro,D,NSH,20-21,Even Strength,DANTE FABBRO,40,20202021,688.9833333,34.75%,28.71%,27.58%
RADIM SIMEKDS.J20-21,Radim Simek,D,S.J,20-21,Even Strength,RADIM SIMEK,40,20202021,509.7166667,25.68%,27.92%,26.30%
ROBERT BORTUZZODSTL20-21,Robert Bortuzzo,D,STL,20-21,Even Strength,ROBERT BORTUZZO,40,20202021,493.8333333,24.08%,27.81%,25.72%
JASON DEMERSDARI20-21,Jason Demers,D,ARI,20-21,Even Strength,JASON DEMERS,41,20202021,626.45,31.51%,28.70%,26.75%
NIKLAS HJALMARSSONDARI20-21,Niklas Hjalmarsson,D,ARI,20-21,Even Strength,NIKLAS HJALMARSSON,41,20202021,556.9833333,27.88%,28.68%,26.79%
JEREMY LAUZONDBOS20-21,Jeremy Lauzon,D,BOS,20-21,Even Strength,JEREMY LAUZON,41,20202021,627.25,30.78%,28.37%,27.66%
OLLI MAATTADL.A20-21,Olli Maatta,D,L.A,20-21,Even Strength,OLLI MAATTA,41,20202021,601.6666667,29.17%,28.25%,26.78%
BEN CHIAROTDMTL20-21,Ben Chiarot,D,MTL,20-21,Even Strength,BEN CHIAROT,41,20202021,757.5833333,36.77%,29.67%,27.18%
