Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
RADIM SIMEKDS.J20-21,Radim Simek,D,S.J,20-21,Penalty Kill,RADIM SIMEK,40,20202021,53.66666667,24.18%,44.91%,35.72%
ROBERT BORTUZZODSTL20-21,Robert Bortuzzo,D,STL,20-21,Penalty Kill,ROBERT BORTUZZO,40,20202021,64.96666667,37.15%,46.34%,34.67%
JASON DEMERSDARI20-21,Jason Demers,D,ARI,20-21,Penalty Kill,JASON DEMERS,41,20202021,63.46666667,30.15%,42.04%,34.21%
NIKLAS HJALMARSSONDARI20-21,Niklas Hjalmarsson,D,ARI,20-21,Penalty Kill,NIKLAS HJALMARSSON,41,20202021,136.9333333,62.40%,50.21%,42.69%
JEREMY LAUZONDBOS20-21,Jeremy Lauzon,D,BOS,20-21,Penalty Kill,JEREMY LAUZON,41,20202021,124.8,55.20%,51.09%,35.63%
OLLI MAATTADL.A20-21,Olli Maatta,D,L.A,20-21,Penalty Kill,OLLI MAATTA,41,20202021,56.25,28.97%,43.58%,30.46%
BEN CHIAROTDMTL20-21,Ben Chiarot,D,MTL,20-21,Penalty Kill,BEN CHIAROT,41,20202021,109.95,52.32%,58.38%,40.54%
SHAYNE GOSTISBEHEREDPHI20-21,Shayne Gostisbehere,D,PHI,20-21,Penalty Kill,SHAYNE GOSTISBEHERE,41,20202021,5.183333333,2.50%,39.90%,29.35%
BRIAN DUMOULINDPIT20-21,Brian Dumoulin,D,PIT,20-21,Penalty Kill,BRIAN DUMOULIN,41,20202021,108.3666667,61.69%,48.83%,40.75%
ALEX PIETRANGELODVGK20-21,Alex Pietrangelo,D,VGK,20-21,Penalty Kill,ALEX PIETRANGELO,41,20202021,88.86666667,47.49%,46.14%,37.49%
BRAYDEN MCNABBDVGK20-21,Brayden Mcnabb,D,VGK,20-21,Penalty Kill,BRAYDEN MCNABB,41,20202021,106.2,56.90%,48.43%,36.41%
ILYA LYUBUSHKINDARI20-21,Ilya Lyubushkin,D,ARI,20-21,Penalty Kill,ILYA LYUBUSHKIN,42,20202021,3.916666667,2.05%,38.77%,28.53%
JAKUB ZBORILDBOS20-21,Jakub Zboril,D,BOS,20-21,Penalty Kill,JAKUB ZBORIL,42,20202021,24.36666667,10.64%,45.10%,27.86%
JAKE BEANDCAR20-21,Jake Bean,D,CAR,20-21,Penalty Kill,JAKE BEAN,42,20202021,12.73333333,5.96%,35.34%,27.52%
JORDAN OESTERLEDARI20-21,Jordan Oesterle,D,ARI,20-21,Penalty Kill,JORDAN OESTERLE,43,20202021,52.25,24.31%,42.54%,33.74%
ETHAN BEARDEDM20-21,Ethan Bear,D,EDM,20-21,Penalty Kill,ETHAN BEAR,43,20202021,77.68333333,43.45%,49.91%,39.99%
GUSTAV FORSLINGDFLA20-21,Gustav Forsling,D,FLA,20-21,Penalty Kill,GUSTAV FORSLING,43,20202021,104.1666667,48.39%,48.93%,40.28%
CONNOR CLIFTONDBOS20-21,Connor Clifton,D,BOS,20-21,Penalty Kill,CONNOR CLIFTON,44,20202021,57.41666667,23.57%,44.56%,29.63%
CALVIN DE HAANDCHI20-21,Calvin De Haan,D,CHI,20-21,Penalty Kill,CALVIN DE HAAN,44,20202021,80.53333333,40.74%,48.40%,36.75%
CALE MAKARDCOL20-21,Cale Makar,D,COL,20-21,Penalty Kill,CALE MAKAR,44,20202021,39.6,16.73%,39.61%,36.06%
TROY STECHERDDET20-21,Troy Stecher,D,DET,20-21,Penalty Kill,TROY STECHER,44,20202021,17.35,8.88%,47.25%,29.88%
MATT ROYDL.A20-21,Matt Roy,D,L.A,20-21,Penalty Kill,MATT ROY,44,20202021,84,39.05%,44.37%,31.36%
