"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"536","Brandon Carlo","BOS","D","27","1.25","0.046296296296296","192","48","80.00","96","48","66.67","48","48","50.00","0","0","-","2.31","0.08","96.60","144","0","100.00","48","0","100.00","0","0","-","128","0","100.00","0","0","-","69.33","0","100.00","0","0","-","0.00","100.00","1.000","0","48","0","240","-","0","48","0","-"
"410","William Carrier","VGK","L","52","2.5166666666667","0.048397435897436","71.52","47.68","60.00","47.68","23.84","66.67","47.68","0","100.00","23.84","0","100.00","4.01","0.42","90.56","47.68","0","100.00","0","0","-","0","0","-","63.58","0","100.00","31.79","0","100.00","0","68.87","0.00","0","0","-","50.00","-","0.50","95.36","0","0","238.41","100.00","119.21","0","23.84","83.33"
"30","Blake Comeau","DAL","L","51","5.1","0.1","35.29","47.06","42.86","23.53","47.06","33.33","23.53","47.06","33.33","0","0","-","1.51","3.52","30.04","11.76","35.29","25.00","0","0","-","0","0","-","15.69","47.06","25.00","0","0","-","33.99","16.99","66.67","0","0","-","0.00","100.00","1.000","23.53","11.76","11.76","164.71","66.67","47.06","23.53","11.76","80.00"
"587","Vladislav Gavrikov","CBJ","D","55","3.8333333333333","0.06969696969697","0","46.96","0.00","0","15.65","0.00","0","15.65","0.00","0","0","-","0","0.25","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","45.22","0.00","0","0","-","-","100.00","1.00","46.96","0","15.65","187.83","75.00","46.96","15.65","15.65","75.00"
"544","Austin Wagner","L.A","L","44","5.2","0.11818181818182","69.23","46.15","60.00","34.62","23.08","60.00","23.08","23.08","50.00","0","0","-","2.11","0.36","85.41","46.15","11.54","80.00","11.54","0","100.00","0","0","-","46.15","15.38","75.00","0","0","-","33.33","33.33","50.00","0","0","-","0.00","100.00","1.000","57.69","11.54","23.08","161.54","71.43","69.23","11.54","23.08","75.00"
"483","Jake Walman","STL","D","24","1.3166666666667","0.054861111111111","136.71","45.57","75.00","91.14","45.57","66.67","45.57","45.57","50.00","0","0","-","5.78","0.01","99.89","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","197.47","0","100.00","0","0","-","0.00","100.00","1.000","91.14","0","0","45.57","100.00","182.28","0","0","100.00"
"295","Connor Murphy","CHI","D","50","9.2666666666667","0.18533333333333","32.37","45.32","41.67","19.42","32.37","37.50","19.42","32.37","37.50","6.47","0","100.00","0.9","1.77","33.60","19.42","19.42","50.00","0","6.47","0.00","0","0","-","25.9","17.27","60.00","0","0","-","18.71","18.71","50.00","9.35","0","100.00","33.33","100.00","1.333","12.95","32.37","0","174.82","100.00","25.9","38.85","6.47","80.00"
"257","Sean Kuraly","BOS","C","47","2.65","0.056382978723404","45.28","45.28","50.00","45.28","45.28","50.00","22.64","45.28","33.33","0","0","-","1.09","0.94","53.75","22.64","0","100.00","0","0","-","0","0","-","30.19","0","100.00","0","0","-","32.7","32.7","50.00","0","0","-","0.00","100.00","1.000","22.64","22.64","22.64","226.42","50.00","22.64","22.64","45.28","33.33"
"350","Connor Carrick","N.J","D","11","6.8333333333333","0.62121212121212","35.12","43.9","44.44","26.34","43.9","37.50","17.56","35.12","33.33","0","0","-","2.04","2.5","44.96","17.56","26.34","40.00","0","0","-","0","0","-","23.41","35.12","40.00","0","0","-","25.37","25.37","50.00","0","0","-","0.00","100.00","1.000","26.34","17.56","0","70.24","100.00","35.12","26.34","8.78","80.00"
"521","Travis Dermott","TOR","D","51","1.3833333333333","0.027124183006536","43.37","43.37","50.00","43.37","43.37","50.00","43.37","43.37","50.00","0","0","-","3.47","0.01","99.79","43.37","0","100.00","0","0","-","0","0","-","57.83","0","100.00","0","0","-","0","0","-","0","0","-","0.00","100.00","1.000","43.37","0","0","130.12","100.00","43.37","0","0","100.00"
"653","Nikita Zaitsev","OTT","D","55","12.45","0.22636363636364","38.55","43.37","47.06","28.92","28.92","50.00","24.1","19.28","55.56","9.64","0","100.00","5.78","0.88","86.79","14.46","9.64","60.00","14.46","4.82","75.00","4.82","0","100.00","0","6.43","0.00","0","0","-","34.81","41.77","45.45","6.96","0","100.00","40.00","100.00","1.400","53.01","14.46","0","91.57","100.00","53.01","14.46","0","100.00"
"596","Adam Brooks","TOR","C","11","1.4166666666667","0.12878787878788","169.41","42.35","80.00","127.06","42.35","75.00","127.06","42.35","75.00","42.35","42.35","50.00","7.41","3.94","65.27","127.06","42.35","75.00","0","42.35","0.00","0","42.35","0.00","169.41","0","100.00","56.47","0","100.00","61.18","0","100.00","0","0","-","33.33","0.00","0.333","0","42.35","0","42.35","-","42.35","84.71","0","100.00"
"692","Mikey Anderson","L.A","D","54","7.1666666666667","0.13271604938272","25.12","41.86","37.50","16.74","33.49","33.33","8.37","33.49","20.00","0","0","-","1.16","0.36","76.31","16.74","8.37","66.67","8.37","0","100.00","0","0","-","11.16","11.16","50.00","0","0","-","0","12.09","0.00","0","0","-","0.00","100.00","1.000","25.12","25.12","16.74","142.33","60.00","25.12","25.12","16.74","60.00"
"445","Pierre-Edouard Bellemare","COL","C","53","4.35","0.082075471698113","55.17","41.38","57.14","41.38","41.38","50.00","13.79","41.38","25.00","0","0","-","7.62","2.37","76.27","0","41.38","0.00","0","27.59","0.00","0","0","-","0","18.39","0.00","0","0","-","79.69","0","100.00","0","0","-","0.00","100.00","1.000","68.97","0","27.59","124.14","71.43","68.97","13.79","41.38","62.50"
"41","Marc Staal","DET","D","56","5.9166666666667","0.10565476190476","50.7","40.56","55.56","40.56","40.56","50.00","40.56","20.28","66.67","0","0","-","5.46","0.87","86.22","20.28","20.28","50.00","20.28","0","100.00","0","0","-","0","27.04","0.00","0","0","-","43.94","0","100.00","0","0","-","0.00","100.00","1.000","20.28","20.28","0","233.24","100.00","50.7","20.28","0","100.00"
"571","Dean Kukan","CBJ","D","35","1.5","0.042857142857143","80","40","66.67","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","115.56","57.78","66.67","0","0","-","-","-","-","0","0","0","120","-","0","0","0","-"
"704","Jack Studnicka","BOS","C","20","9","0.45","100","40","71.43","66.67","26.67","71.43","26.67","26.67","50.00","0","0","-","6.33","0.58","91.61","60","6.67","90.00","33.33","0","100.00","0","0","-","35.56","8.89","80.00","0","0","-","48.15","28.89","62.50","0","0","-","0.00","100.00","1.000","13.33","0","6.67","66.67","66.67","13.33","6.67","13.33","50.00"
"351","Jaccob Slavin","CAR","D","52","7.5833333333333","0.14583333333333","63.3","39.56","61.54","47.47","39.56","54.55","47.47","23.74","66.67","15.82","0","100.00","5.25","8.04","39.52","39.56","23.74","62.50","23.74","7.91","75.00","7.91","0","100.00","21.1","21.1","50.00","0","0","-","22.86","22.86","50.00","0","0","-","33.33","100.00","1.333","47.47","15.82","7.91","110.77","85.71","63.3","15.82","15.82","80.00"
"439","Trevor van Riemsdyk","WSH","D","20","4.5833333333333","0.22916666666667","104.73","39.27","72.73","104.73","26.18","80.00","65.45","26.18","71.43","13.09","0","100.00","10.74","0.54","95.18","39.27","13.09","75.00","26.18","0","100.00","0","0","-","17.45","17.45","50.00","17.45","0","100.00","94.55","18.91","83.33","0","0","-","20.00","100.00","1.200","26.18","39.27","0","91.64","100.00","52.36","39.27","0","100.00"
"550","Jeremy Lauzon","BOS","D","41","3.0666666666667","0.07479674796748","39.13","39.13","50.00","39.13","19.57","66.67","39.13","19.57","66.67","0","0","-","2.84","0.03","98.85","19.57","19.57","50.00","19.57","0","100.00","0","0","-","0","26.09","0.00","0","0","-","28.26","0","100.00","0","0","-","0.00","100.00","1.000","39.13","39.13","0","136.96","100.00","58.7","39.13","0","100.00"
"625","Trent Frederic","BOS","C","42","11.133333333333","0.26507936507937","59.28","37.72","61.11","37.72","26.95","58.33","16.17","16.17","50.00","0","0","-","1.89","0.82","69.67","16.17","5.39","75.00","10.78","0","100.00","0","0","-","7.19","7.19","50.00","0","0","-","54.49","38.92","58.33","0","0","-","0.00","100.00","1.000","5.39","10.78","0","107.78","100.00","16.17","16.17","10.78","60.00"
