"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"79","Igor Shesterkin","NYR","47","208.36666666667","4.4333333333333","10.37","10.08","0.972","0.29","0.53","0.5","0.86","0.58","0.667","0.29","-0.11","2.3","2.3","1.000","0.00","0.20","0.86","0.86","1.000","0.00","0.03","1.44","0.58","107.36","12.00"
"78","Kaapo Kahkonen","MIN","29","145.11666666667","5.0040229885057","11.16","10.75","0.963","0.41","0.47","0.87","2.48","2.07","0.833","0.41","0.10","0.83","0.83","1.000","0.00","0.07","3.31","3.31","1.000","0.00","0.12","2.07","0.41","84.48","34.00"
"54","Malcolm Subban","CHI, VGK","37","167.15","4.5175675675676","9.33","8.97","0.962","0.36","0.38","0.81","3.95","3.59","0.909","0.36","0.46","1.79","1.79","1.000","0.00","0.16","1.08","1.08","1.000","0.00","0.04","0.72","1.08","56.08","9.00"
"67","Marcus Hogberg","OTT","38","164.91666666667","4.3399122807018","8.73","8.37","0.958","0.36","0.33","0.47","1.46","1.09","0.750","0.36","-0.06","1.46","1.46","1.000","0.00","0.13","1.82","1.82","1.000","0.00","0.06","1.46","0","87.92","21.00"
"33","Darcy Kuemper","ARI","56","284.95","5.0883928571429","9.05","8.63","0.953","0.42","0.29","0.7","2.74","2.32","0.846","0.42","0.15","0.42","0.42","1.000","0.00","0.04","2.53","2.53","1.000","0.00","0.09","1.68","0.21","70.02","15.00"
"69","Tristan Jarry","PIT","72","298.55","4.1465277777778","12.46","11.86","0.952","0.60","0.38","0.97","3.42","3.22","0.941","0.20","0.51","2.81","2.41","0.857","0.40","-0.15","2.21","2.21","1.000","0.00","0.08","1.21","0.6","63.92","22.67"
"61","Linus Ullmark","BUF","54","257.95","4.7768518518519","9.54","9.07","0.951","0.47","0.29","0.68","2.56","2.09","0.818","0.47","0.06","1.86","1.86","1.000","0.00","0.16","1.63","1.63","1.000","0.00","0.06","1.4","0","67.07","7.00"
"16","Carey Price","MTL","83","347.38333333333","4.1853413654618","10.36","9.85","0.950","0.52","0.30","0.67","2.76","2.25","0.813","0.52","0.05","1.73","1.73","1.000","0.00","0.15","1.73","1.73","1.000","0.00","0.06","1.21","0.35","71.68","15.33"
"72","Alex Nedeljkovic","CAR","27","110.6","4.0962962962963","10.85","10.31","0.950","0.54","0.32","1.46","4.88","4.34","0.889","0.54","0.47","2.17","2.17","1.000","0.00","0.19","3.25","3.25","1.000","0.00","0.11","1.08","1.08","29.35","5.00"
"36","Sergei Bobrovsky","FLA","81","417.05","5.1487654320988","13.67","12.95","0.947","0.72","0.36","0.91","3.45","3.17","0.917","0.29","0.43","2.73","2.59","0.947","0.14","0.10","3.02","2.73","0.905","0.29","-0.18","0.86","0.72","63.63","28.80"
"71","Thatcher Demko","VAN","62","294.63333333333","4.7521505376344","11","10.39","0.944","0.61","0.26","0.75","3.05","2.65","0.867","0.41","0.23","2.65","2.44","0.923","0.20","0.03","2.04","2.04","1.000","0.00","0.07","0.81","0","64.57","17.33"
